web-scraper-order,web-scraper-start-url,vehicleReviews,vehicleReviews-href,name,price,edmundsRating
"1576134903-20","https://www.edmunds.com/car-reviews/","Volkswagen e-Golf","https://www.edmunds.com/volkswagen/e-golf/","2019 Volkswagen e-Golf","$31,895 - $38,895","7.9 / 10"
"1576135033-38","https://www.edmunds.com/car-reviews/","Kia Telluride","https://www.edmunds.com/kia/telluride/","2020 Kia Telluride","$31,690 - $43,490","8.4 / 10"
"1576134801-6","https://www.edmunds.com/car-reviews/","Honda Civic","https://www.edmunds.com/honda/civic/2019/hatchback/","2019 Honda Civic Hatchback","$21,450 - $36,300","8.2 / 10"
"1576135003-34","https://www.edmunds.com/car-reviews/","Volkswagen Atlas","https://www.edmunds.com/volkswagen/atlas/","2019 Volkswagen Atlas","$30,895 - $48,395","7.8 / 10"
"1576134909-21","https://www.edmunds.com/car-reviews/","Chevrolet Bolt EV","https://www.edmunds.com/chevrolet/bolt-ev/","2020 Chevrolet Bolt EV","$36,620 - $41,020","7.9 / 10"
"1576134968-29","https://www.edmunds.com/car-reviews/","Ford Taurus","https://www.edmunds.com/ford/taurus/","2019 Ford Taurus","$27,800 - $42,975","6.8 / 10"
"1576134841-11","https://www.edmunds.com/car-reviews/","BMW 8 Series","https://www.edmunds.com/bmw/8-series/","2019 BMW 8 Series","$111,900","8.1 / 10"
"1576134775-2","https://www.edmunds.com/car-reviews/","Chrysler Pacifica","https://www.edmunds.com/chrysler/pacifica/","2020 Chrysler Pacifica","$33,495 - $46,540","7.6 / 10"
"1576134888-18","https://www.edmunds.com/car-reviews/","Chevrolet Volt","https://www.edmunds.com/chevrolet/volt/","2019 Chevrolet Volt","$33,520 - $38,120","8.0 / 10"
"1576134895-19","https://www.edmunds.com/car-reviews/","Nissan Leaf","https://www.edmunds.com/nissan/leaf/","2019 Nissan LEAF","$29,990 - $42,550","7.9 / 10"
"1576134787-4","https://www.edmunds.com/car-reviews/","Volkswagen Golf","https://www.edmunds.com/volkswagen/golf/","2019 Volkswagen Golf","$21,845 - $25,245","7.8 / 10"
"1576135023-37","https://www.edmunds.com/car-reviews/","Hyundai Palisade","https://www.edmunds.com/hyundai/palisade/","2020 Hyundai Palisade","$31,550 - $46,400","8.2 / 10"
"1576134941-25","https://www.edmunds.com/car-reviews/","Chevrolet Silverado 1500","https://www.edmunds.com/chevrolet/silverado-1500/","2019 Chevrolet Silverado 1500","$28,300 - $32,900","7.2 / 10"
"1576134995-33","https://www.edmunds.com/car-reviews/","Toyota Avalon","https://www.edmunds.com/toyota/avalon/","2020 Toyota Avalon","$35,800 - $42,500","7.8 / 10"
"1576134862-14","https://www.edmunds.com/car-reviews/","Honda Clarity","https://www.edmunds.com/honda/clarity/","2019 Honda Clarity","$33,400 - $36,620","7.2 / 10"
"1576135016-36","https://www.edmunds.com/car-reviews/","Honda Pilot","https://www.edmunds.com/honda/pilot/","2020 Honda Pilot","$31,550 - $49,620","8.1 / 10"
"1576134769-1","https://www.edmunds.com/car-reviews/","Toyota Sienna","https://www.edmunds.com/toyota/sienna/","2020 Toyota Sienna","$31,415 - $49,190","7.3 / 10"
"1576135009-35","https://www.edmunds.com/car-reviews/","Mazda CX-9","https://www.edmunds.com/mazda/cx-9/","2019 Mazda CX-9","$32,280 - $45,365","7.9 / 10"
"1576134794-5","https://www.edmunds.com/car-reviews/","MINI Clubman","https://www.edmunds.com/mini/clubman/","2019 MINI Clubman","$24,900 - $35,900","7.9 / 10"
"1576134983-31","https://www.edmunds.com/car-reviews/","Kia Cadenza","https://www.edmunds.com/kia/cadenza/","2019 Kia Cadenza","$33,100 - $44,100","7.5 / 10"
"1576134918-22","https://www.edmunds.com/car-reviews/","Hyundai Kona Electric","https://www.edmunds.com/hyundai/kona-electric/","2019 Hyundai Kona Electric","$36,950 - $44,900","8.2 / 10"
"1576134948-26","https://www.edmunds.com/car-reviews/","GMC Sierra 1500","https://www.edmunds.com/gmc/sierra-1500/","2020 GMC Sierra 1500","$29,600 - $34,200","7.3 / 10"
"1576134848-12","https://www.edmunds.com/car-reviews/","Porsche 911","https://www.edmunds.com/porsche/911/","2020 Porsche 911","$97,400 - $120,600","8.2 / 10"
"1576134834-10","https://www.edmunds.com/car-reviews/","Lexus LC 500","https://www.edmunds.com/lexus/lc-500/","2020 Lexus LC 500","$92,950","7.7 / 10"
"1576134876-16","https://www.edmunds.com/car-reviews/","MINI Countryman","https://www.edmunds.com/mini/countryman/","2019 MINI Countryman","$26,900 - $37,900","7.7 / 10"
"1576134821-8","https://www.edmunds.com/car-reviews/","Hyundai Veloster","https://www.edmunds.com/hyundai/veloster/","2020 Hyundai Veloster","$18,600 - $28,150","8.3 / 10"
"1576134881-17","https://www.edmunds.com/car-reviews/","Chrysler Pacifica Hybrid","https://www.edmunds.com/chrysler/pacifica-hybrid/","2019 Chrysler Pacifica Hybrid","$39,995 - $45,545","7.9 / 10"
"1576134781-3","https://www.edmunds.com/car-reviews/","Honda Odyssey","https://www.edmunds.com/honda/odyssey/","2020 Honda Odyssey","$30,690 - $47,320","8.1 / 10"
"1576134812-7","https://www.edmunds.com/car-reviews/","Kia Forte","https://www.edmunds.com/kia/forte/2018/hatchback/","2018 Kia Forte Hatchback","$18,300 - $26,100","8.1 / 10"
"1576134827-9","https://www.edmunds.com/car-reviews/","Toyota GR Supra","https://www.edmunds.com/toyota/gr-supra/","2020 Toyota GR Supra","$49,990 - $55,250","7.5 / 10"
"1576134961-28","https://www.edmunds.com/car-reviews/","Ram 1500","https://www.edmunds.com/ram/1500/","2020 Ram 1500","$32,145 - $57,265","8.6 / 10"
"1576134973-30","https://www.edmunds.com/car-reviews/","Dodge Charger","https://www.edmunds.com/dodge/charger/","2019 Dodge Charger","$29,220 - $65,545","7.4 / 10"
"1576134955-27","https://www.edmunds.com/car-reviews/","Ford F-150","https://www.edmunds.com/ford/f-150/","2020 Ford F-150","$28,495 - $38,235","8.1 / 10"
"1576134927-23","https://www.edmunds.com/car-reviews/","Kia Niro EV","https://www.edmunds.com/kia/niro-ev/","2019 Kia Niro EV","$38,500 - $44,000","8.3 / 10"
"1576134988-32","https://www.edmunds.com/car-reviews/","Chrysler 300","https://www.edmunds.com/chrysler/300/","2019 Chrysler 300","$29,220 - $41,695","7.6 / 10"
"1576134855-13","https://www.edmunds.com/car-reviews/","Chevrolet Corvette","https://www.edmunds.com/chevrolet/corvette/","2020 Chevrolet Corvette","$58,900 - $70,850","8.4 / 10"
"1576134934-24","https://www.edmunds.com/car-reviews/","Nissan Titan","https://www.edmunds.com/nissan/titan/","2019 Nissan Titan","$30,690 - $37,470","6.9 / 10"
"1576134870-15","https://www.edmunds.com/car-reviews/","Hyundai Ioniq Plug-In Hybrid","https://www.edmunds.com/hyundai/ioniq-plug-in-hybrid/","2019 Hyundai Ioniq Plug-In Hybrid","$25,350 - $29,350","7.3 / 10"
